zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate
90061,12020.0,3560,8930.0,29.61730449251248,74.2928452579035
90062,14380.0,3630,10440.0,25.24339360222531,72.60083449235049
90063,21190.0,4680,15800.0,22.085889570552148,74.56347333647948
90064,14960.0,870,9640.0,5.815508021390374,64.43850267379679
90065,21030.0,2880,14550.0,13.69472182596291,69.18687589158345
90066,27840.0,2090,17120.0,7.507183908045977,61.49425287356321
90067,3850.0,100,3580.0,2.5974025974025974,92.98701298701299
90068,11750.0,1000,7790.0,8.51063829787234,66.29787234042553
90069,12770.0,790,8370.0,6.186374314800313,65.54424432263116
90077,3820.0,140,3140.0,3.664921465968586,82.19895287958116
90094,4870.0,190,2980.0,3.9014373716632447,61.19096509240246
90201,39940.0,9930,32110.0,24.86229344016024,80.39559339008512
90210,9030.0,410,7810.0,4.540420819490587,86.48947951273533
90211,5110.0,430,3930.0,8.414872798434441,76.90802348336595
90212,6850.0,540,5180.0,7.883211678832117,75.62043795620438
90220,22440.0,5670,16540.0,25.267379679144387,73.70766488413547
90221,22510.0,6030,17220.0,26.78809418036428,76.499333629498
90222,13580.0,3800,10240.0,27.982326951399116,75.40500736377025
90230,15460.0,1450,9760.0,9.379042690815007,63.130659767141005
90232,8810.0,640,5200.0,7.264472190692395,59.02383654937571
90240,12380.0,1790,9240.0,14.45880452342488,74.63651050080774
90241,20880.0,3410,15450.0,16.331417624521073,73.99425287356321
90242,19630.0,3310,14450.0,16.86194600101885,73.61181864493122
90245,9280.0,490,5650.0,5.280172413793103,60.883620689655174
90247,23040.0,4040,16270.0,17.53472222222222,70.61631944444444
90248,5750.0,850,3970.0,14.782608695652174,69.04347826086956
90249,13260.0,2260,9100.0,17.043740573152338,68.62745098039215
90250,43650.0,8430,30610.0,19.312714776632305,70.12600229095074
90254,10080.0,380,6270.0,3.7698412698412698,62.202380952380956
90255,30130.0,6860,24340.0,22.768005310321936,80.78327248589446
90260,15790.0,2990,11110.0,18.936035465484483,70.36098796706777
90262,28400.0,6790,22030.0,23.908450704225352,77.57042253521126
90265,6060.0,340,4720.0,5.6105610561056105,77.88778877887789
90266,16650.0,500,11790.0,3.003003003003003,70.8108108108108
90270,10570.0,2340,8520.0,22.138126773888363,80.60548722800378
90272,10350.0,340,8400.0,3.2850241545893724,81.15942028985508
90274,12860.0,350,9640.0,2.7216174183514776,74.96111975116641
90275,19760.0,860,13240.0,4.352226720647773,67.00404858299595
90277,18770.0,960,11730.0,5.1145444858817255,62.49334043686734
90278,19890.0,1240,11750.0,6.234288587229764,59.07491201608849
90280,41020.0,9000,32300.0,21.940516821062896,78.74207703559239
90290,2940.0,260,2190.0,8.843537414965986,74.48979591836735
90291,13790.0,1070,8780.0,7.75924583031182,63.669325598259604
90292,14270.0,720,8910.0,5.045550105115628,62.43868255080589
90293,6820.0,330,3970.0,4.838709677419355,58.21114369501467
90301,16360.0,3540,11880.0,21.638141809290953,72.6161369193154
90302,13390.0,2870,9150.0,21.433905899925318,68.3345780433159
90303,11160.0,2520,8360.0,22.58064516129032,74.91039426523297
90304,11490.0,2570,8960.0,22.36727589208007,77.98085291557877
90305,7380.0,1100,4850.0,14.905149051490515,65.71815718157181
90401,4540.0,440,2520.0,9.691629955947137,55.50660792951542
90402,5150.0,180,4140.0,3.4951456310679614,80.3883495145631
90403,13490.0,650,8380.0,4.818383988139362,62.120088954781316
90404,10980.0,1130,6270.0,10.29143897996357,57.103825136612016
