zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate,poverty_rate,disability_rate,poverty_z,disability_z,preliminary_need_score,latitude,longitude,city,location,limited_english_rate,no_internet_rate,limited_english_z,no_internet_z,default_need_score
94621,13500.0,3290,8820.0,24.37037037037037,65.33333333333333,19.9,10.8,1.38260526517473,0.4439438528732342,0.913274559023982,37.75113,-122.210178,Oakland,Oakland (94621),48.22610929933788,17.84761340053365,0.8322143114467819,3.2584876625401797,1.4793127730087314
94612,9700.0,970,3620.0,10.0,37.31958762886598,20.2,16.2,1.423500449229615,2.701918799951921,2.0627096245907683,37.807709,-122.266857,Oakland,Oakland (94612),21.43145568342419,14.385221078134464,-1.1746540563706522,2.3666605774576306,1.3293564425671287
94601,21680.0,4440,13310.0,20.479704797047972,61.392988929889306,18.7,10.5,1.21902452895519,0.31850080025775124,0.7687626646064705,37.77576,-122.218572,Oakland,Oakland (94601),48.037196529988144,14.142170629719777,0.8180651059179743,2.30405676114964,1.164911799070139
94704,5390.0,420,1740.0,7.792207792207792,32.28200371057514,47.5,7.6,5.144962198224153,-0.8941153750252478,2.125423411599453,37.866417,-122.260922,Berkeley,Berkeley (94704),45.12015693967631,3.151054438450221,0.5995844132625145,-0.5269843809100049,1.0808617138878538
94603,15390.0,3110,10300.0,20.207927225471085,66.92657569850552,13.5,11.0,0.5101746720038495,0.527572554616889,0.5188736133103693,37.739266,-122.175548,Oakland,Oakland (94603),44.45810478532249,14.582939285038773,0.5499979716736981,2.4175879235560167,1.0013332804626134
94607,12990.0,2160,5770.0,16.628175519630485,44.41878367975365,19.4,14.2,1.314446625083255,1.8656317825153703,1.5900392037993123,37.808842,-122.304697,Oakland,Oakland (94607),26.63249012522061,10.98411631229515,-0.7851065126408425,1.4906196592300118,0.9713978885469485
94606,16910.0,3150,8700.0,18.628030751034892,51.4488468361916,16.7,12.6,0.9463899685892897,1.1966021685661297,1.0714960685777095,37.791366,-122.244513,Oakland,Oakland (94606),35.196278358399184,10.38108590364517,-0.14369513407963536,1.3352938609132587,0.8336477159972607
94545,16190.0,1480,10010.0,9.141445336627548,61.828289067325514,8.7,11.3,-0.14414827287431112,0.653015607232372,0.2544336671790304,37.629761,-122.124238,Hayward,Hayward (94545),59.250024932681754,7.110800837738108,1.6578845324981362,0.4929488791360508,0.664925186498062
94541,30710.0,3540,19100.0,11.527189840442851,62.19472484532725,11.1,12.6,0.1830131995647692,1.1966021685661297,0.6898076840654495,37.673757,-122.087823,Hayward,Hayward (94541),43.545963666165825,7.38514774848609,0.4816803443865173,0.5636138942271878,0.6062274016861511
94580,14600.0,1460,8840.0,10.0,60.54794520547945,6.6,13.9,-0.4304145612585063,1.7401887298998882,0.654887084320691,37.678001,-122.133367,San Lorenzo,San Lorenzo (94580),48.49002849002849,4.82051282051282,0.8519813546431309,-0.09697297148375036,0.5161956379501905
94578,18650.0,2800,10920.0,15.013404825737265,58.552278820375335,12.3,11.7,0.34659393578430947,0.8202730107196816,0.5834334732519955,37.706765,-122.125565,San Leandro,San Leandro (94578),36.90888119953864,6.29325259515571,-0.015424453003326033,0.28236856408053485,0.3584527643953
94605,19730.0,2770,10940.0,14.03953370501774,55.44855549923974,13.1,11.4,0.4556477599306694,0.6948299581041993,0.5752388590174343,37.761408,-122.150198,Oakland,Oakland (94605),24.802799359468597,9.708795445110017,-0.9221468555880099,1.1621283775896474,0.3476148100091266
94544,36480.0,4150,23630.0,11.37609649122807,64.77521929824562,9.0,9.4,-0.10325308881942598,-0.14145705933235167,-0.1223550740758888,37.633507,-122.056772,Hayward,Hayward (94544),53.89047742829911,6.2039684602720735,1.2564646632010634,0.2593711673839595,0.31778142060831127
94579,11190.0,1340,6650.0,11.974977658623772,59.42806076854335,8.6,11.9,-0.15778000089260608,0.9039017124633372,0.3730608557853656,37.6865,-122.157215,San Leandro,San Leandro (94579),36.348459553801796,7.406283199271513,-0.057398963649789234,0.5690578664032838,0.3144451535810564
94587,33580.0,2560,19170.0,7.623585467540203,57.08755211435378,6.6,9.8,-0.4304145612585063,0.02580034415495869,-0.2023071085517737,37.590008,-122.075187,Union City,Union City (94587),60.54650047938639,4.25215723873442,1.7549880741832231,-0.24336738742232297,0.2767516174143381
94710,3930.0,370,1920.0,9.4147582697201,48.854961832061065,9.3,14.5,-0.062357904764540846,1.9910748351308534,0.9643584651831564,37.863923,-122.306465,Berkeley,Berkeley (94710),29.469001946066165,3.586321934945788,-0.5726571960796341,-0.4148701816843557,0.2352973881505807
94709,4490.0,240,1660.0,5.34521158129176,36.97104677060133,19.6,9.0,1.3417100811198452,-0.308714462819662,0.5164978091500916,37.878291,-122.266252,Berkeley,Berkeley (94709),33.18077803203661,5.6254767353165525,-0.2946522581493592,0.11036593031886376,0.21217732261742195
94702,8300.0,620,3840.0,7.46987951807229,46.265060240963855,11.4,13.4,0.22390838361965432,1.5311169755407503,0.8775126795802023,37.866321,-122.286348,Berkeley,Berkeley (94702),21.176628971459344,5.425417339795368,-1.1937400902805455,0.05883555162757682,0.15503020512685897
94577,23710.0,2700,13780.0,11.387600168705188,58.11893715731758,7.2,10.3,-0.34862419314873616,0.23487209851409646,-0.0568760473173198,37.716659,-122.169274,San Leandro,San Leandro (94577),39.07336370175018,6.826900023975066,0.1466911514246713,0.4198230136606402,0.11319051761266793
94538,31450.0,2350,17150.0,7.472178060413355,54.53100158982512,5.0,7.9,-0.6485222095512264,-0.7686723224097649,-0.7085972659804955,37.501368,-121.956753,Fremont,Fremont (94538),57.374230908432864,3.9133188563155987,1.5173911435643714,-0.33064381908252005,-0.057611801869784984
94536,31940.0,1850,17250.0,5.792110206637445,54.00751408891672,7.6,7.7,-0.29409728107555616,-0.8523010241534201,-0.5731991526144882,37.570508,-121.98125,Fremont,Fremont (94536),51.53495502037194,3.800072612852475,1.0800405347940953,-0.3598132654652694,-0.10654275897503761
