zip_code,Number of returns [2],Earned income credit [11],Number with paid preparer's signature,eitc_rate,paid_preparer_rate,poverty_rate,disability_rate,poverty_z,disability_z,preliminary_need_score,latitude,longitude,city,location
94602,13900.0,1150,7310.0,8.273381294964029,52.58992805755396,7.4,10.9,-0.3213607371121461,0.4857582037450616,0.08219873331645777,37.805235,-122.204229,Oakland,Oakland (94602)
94577,23710.0,2700,13780.0,11.387600168705188,58.11893715731758,7.2,10.3,-0.3486241931487361,0.23487209851409646,-0.05687604731731982,37.716659,-122.169274,San Leandro,San Leandro (94577)
94501,30900.0,2610,15410.0,8.446601941747572,49.8705501618123,8.2,9.8,-0.21230691296578613,0.02580034415495869,-0.09325328440541372,37.774712,-122.278097,Alameda,Alameda (94501)
94586,510.0,0,320.0,0.0,62.745098039215684,6.0,10.5,-0.5122049293682762,0.31850080025775124,-0.09685206455526249,37.567125,-121.852246,Sunol,Sunol (94586)
94546,22090.0,1740,12320.0,7.876867360796741,55.771842462652785,7.5,10.0,-0.3077290090938511,0.10942904589861349,-0.0991499815976188,37.745399,-122.103127,Castro Valley,Castro Valley (94546)
94610,16230.0,870,7530.0,5.360443622920517,46.39556377079482,8.1,9.8,-0.2259386409840811,0.02580034415495869,-0.1000691484145612,37.812329,-122.240377,Oakland,Oakland (94610)
94609,11420.0,1220,4800.0,10.683012259194395,42.03152364273205,10.1,9.1,0.046695919381819086,-0.26690011194783464,-0.11010209628300778,37.834816,-122.264195,Oakland,Oakland (94609)
94544,36480.0,4150,23630.0,11.37609649122807,64.77521929824562,9.0,9.4,-0.10325308881942596,-0.14145705933235167,-0.12235507407588882,37.633507,-122.056772,Hayward,Hayward (94544)
94587,33580.0,2560,19170.0,7.623585467540203,57.08755211435378,6.6,9.8,-0.43041456125850625,0.02580034415495869,-0.20230710855177378,37.590008,-122.075187,Union City,Union City (94587)
94705,6880.0,290,3590.0,4.215116279069767,52.18023255813954,9.0,9.0,-0.10325308881942596,-0.308714462819662,-0.205983775819544,37.865205,-122.238384,Berkeley,Berkeley (94705)
94611,20320.0,780,10890.0,3.8385826771653546,53.59251968503938,6.1,9.2,-0.4985732013499813,-0.2250857610760072,-0.36182948121299424,37.831917,-122.215793,Oakland,Oakland (94611)
94619,11580.0,1070,6300.0,9.24006908462867,54.40414507772021,5.0,9.1,-0.6485222095512263,-0.26690011194783464,-0.45771116074953044,37.792612,-122.160084,Oakland,Oakland (94619)
94551,19940.0,1140,10680.0,5.717151454363089,53.56068204613842,5.4,8.7,-0.5939952974780462,-0.43415751543514497,-0.5140764064565956,37.750512,-121.749249,Livermore,Livermore (94551)
94708,5730.0,150,3360.0,2.6178010471204187,58.63874345549738,5.7,8.5,-0.5531001134231612,-0.5177862171787998,-0.5354431653009806,37.903067,-122.26194,Berkeley,Berkeley (94708)
94550,23340.0,1020,12370.0,4.370179948586118,52.99914310197087,3.4,9.2,-0.8666298578439464,-0.2250857610760072,-0.5458578094599769,37.519983,-121.575595,Livermore,Livermore (94550)
94536,31940.0,1850,17250.0,5.792110206637445,54.00751408891672,7.6,7.7,-0.29409728107555616,-0.8523010241534201,-0.5731991526144882,37.570508,-121.98125,Fremont,Fremont (94536)
94707,6730.0,170,4040.0,2.526002971768202,60.0297176820208,3.8,8.9,-0.8121029457707665,-0.3505288136914894,-0.581315879731128,37.89836,-122.27909,Berkeley,Berkeley (94707)
94560,23860.0,1540,13480.0,6.454316848281643,56.49622799664711,4.0,8.7,-0.7848394897341764,-0.43415751543514497,-0.6094985025846607,37.504253,-122.03191,Newark,Newark (94560)
94618,8390.0,240,4510.0,2.860548271752086,53.75446960667462,4.9,8.4,-0.6621539375695212,-0.5596005680506272,-0.6108772528100742,37.844821,-122.238552,Oakland,Oakland (94618)
94566,20620.0,680,10740.0,3.2977691561590685,52.08535402521824,4.4,8.4,-0.7303125776609963,-0.5596005680506272,-0.6449565728558118,37.648731,-121.848024,Pleasanton,Pleasanton (94566)
94538,31450.0,2350,17150.0,7.472178060413355,54.531001589825124,5.0,7.9,-0.6485222095512263,-0.7686723224097649,-0.7085972659804955,37.501368,-121.956753,Fremont,Fremont (94538)
94588,15840.0,570,8150.0,3.5984848484848486,51.4520202020202,6.3,7.2,-0.4713097453133912,-1.061372778512558,-0.7663412619129746,37.792648,-121.862807,Pleasanton,Pleasanton (94588)
94542,6740.0,460,3850.0,6.824925816023739,57.12166172106825,7.5,6.8,-0.3077290090938511,-1.2286301819998682,-0.7681795955468597,37.65532,-122.025826,Hayward,Hayward (94542)
94706,8980.0,590,4160.0,6.570155902004454,46.32516703786192,9.0,5.7,-0.10325308881942596,-1.6885880415899712,-0.8959205652046986,37.889698,-122.295858,Albany,Albany (94706)
94552,7040.0,270,3680.0,3.835227272727273,52.27272727272727,5.1,6.9,-0.6348904815329314,-1.1868158311280403,-0.9108531563304858,37.705778,-122.007585,Castro Valley / Hayward,Castro Valley / Hayward (94552)
94502,6830.0,220,3520.0,3.22108345534407,51.53733528550512,2.5,7.2,-0.9893154100086016,-1.061372778512558,-1.0253440942605798,37.739495,-122.239465,Alameda,Alameda (94502)
94539,25000.0,810,11480.0,3.2399999999999998,45.92,3.7,6.1,-0.8257346737890614,-1.5213306381026612,-1.1735326559458614,37.516292,-121.911891,Fremont,Fremont (94539)
94568,29790.0,1300,14630.0,4.36388049681101,49.110439744880836,3.9,5.9,-0.7984712177524713,-1.604959339846316,-1.2017152787993937,37.715966,-121.901141,Dublin,Dublin (94568)
94555,15720.0,730,7730.0,4.643765903307888,49.17302798982188,3.9,5.2,-0.7984712177524713,-1.8976597959491088,-1.34806550685079,37.547594,-122.09822,Fremont,Fremont (94555)
